field1,item value2,item value3,item value4,item value5,item value6,item value7,item value8,item value9,item value10,item value11,item value12,item value13,item value14,item value15,item value16,item value17,item value18,item value19,item value20
2006,-,-,-,-,621,194,683,285,326,211,224,133,97,63,90,67,98,235,108
2007,65.35,67,64.41,66,666,210,692,351,301,232,241,121,101,79,129,70,118,278,141
2008,65.63,67,64.89,66,657,231,706,324,317,264,235,126,110,81,80,45,108,263,92
2009,66.2,65,68,66,670,231,753,364,348,231,222,129,110,77,71,55,116,244,93
2010,66,65.2,67,66,647,227,734,408,375,259,232,112,126,86,100,54,124,296,94
2011,66.1771147,65.25775104,67,66,652,263,828,374,399,284,240,131,138,108,92,52,154,322,99
2012,66.36935741,65.27801911,67,65,713,279,820,431,376,306,238,130,141,93,90,61,146,318,97
2013,66.49359959,66.13432221,67,66,741,283,859,468,411,302,260,129,160,130,89,76,137,320,92
2014,66.74517181,66.37912973,67,66,698,311,884,473,438,314,246,135,168,129,97,71,138,310,95
2015,66.88026608,66.71775417,66,66,720,323,897,487,419,364,239,150,164,140,117,65,150,354,95
2016,67,67.1,67,67,717,300,911,489,444,336,241,145,159,135,106,63,181,331,79
2017,67.4,67.6,67,67,740,361,865,548,463,319,230,141,180,158,105,72,179,405,83
2018,67.6,68,67,68,770,297,896,506,462,329,224,152,197,163,94,86,184,404,109
2019,67.7,68.5,67,69,700,318,945,544,481,398,257,167,197,180,116,78,204,410,118
2020,68.4,68.9,68,69,717,312,899,582,492,401,228,136,199,173,114,80,215,460,95
2021,68.8,68.9,69,69,717,343,1008,611,551,415,235,154,228,204,117,96,229,484,94
2022,68.8,69.2,69,70,712,320,1016,591,608,445,224,140,241,200,137,104,267,464,100
2023,68.8,69.6,69,70,655,316,1013,637,600,437,255,147,265,214,138,107,283,502,103
